date,district,month,visitors,year
01-01-2016,Adilabad,January,792136,2016
01-09-2017,Adilabad,September,42699,2017
01-06-2019,Adilabad,June,9161,2019
01-05-2019,Adilabad,May,6997,2019
01-04-2019,Adilabad,April,9972,2019
01-03-2019,Adilabad,March,14347,2019
01-02-2019,Adilabad,February,406177,2019
01-01-2019,Adilabad,January,25071,2019
01-07-2019,Adilabad,July,11791,2019
01-10-2016,Adilabad,October,94184,2016
01-08-2017,Adilabad,August,34876,2017
01-06-2016,Adilabad,June,368237,2016
01-01-2018,Adilabad,January,320356,2018
01-02-2018,Adilabad,February,36550,2018
01-03-2018,Adilabad,March,23011,2018
01-04-2018,Adilabad,April,14183,2018
01-08-2016,Adilabad,August,614285,2016
01-06-2018,Adilabad,June,12052,2018
01-08-2018,Adilabad,August,38939,2018
01-07-2018,Adilabad,July,24666,2018
01-08-2019,Adilabad,August,108173,2019
01-05-2018,Adilabad,May,8197,2018
01-09-2019,Adilabad,September,37589,2019
01-03-2016,Adilabad,March,582946,2016
01-09-2016,Adilabad,September,491279,2016
01-01-2017,Adilabad,January,318799,2017
01-03-2017,Adilabad,March,27508,2017
01-04-2017,Adilabad,April,13946,2017
01-05-2017,Adilabad,May,11752,2017
01-07-2017,Adilabad,July,52386,2017
01-10-2019,Adilabad,October,38184,2019
01-11-2019,Adilabad,November,70344,2019
01-12-2019,Adilabad,December,38089,2019
01-11-2017,Adilabad,November,117322,2017
01-12-2017,Adilabad,December,54251,2017
01-06-2017,Adilabad,June,26859,2017
01-04-2016,Adilabad,April,341948,2016
01-02-2017,Adilabad,February,83316,2017
01-05-2016,Adilabad,May,252887,2016
01-11-2016,Adilabad,November,99148,2016
01-10-2017,Adilabad,October,41666,2017
01-10-2018,Adilabad,October,30257,2018
01-09-2018,Adilabad,September,25875,2018
01-12-2018,Adilabad,December,61476,2018
01-02-2016,Adilabad,February,937820,2016
01-11-2018,Adilabad,November,49181,2018
01-07-2016,Adilabad,July,447562,2016
