date,district,month,visitors,year
01-01-2016,Adilabad,January,2,2016
01-02-2016,Adilabad,February,0,2016
01-03-2016,Adilabad,March,2,2016
01-04-2016,Adilabad,April,0,2016
01-05-2016,Adilabad,May,0,2016
01-06-2016,Adilabad,June,0,2016
01-07-2016,Adilabad,July,4,2016
01-08-2016,Adilabad,August,2,2016
01-09-2016,Adilabad,September,0,2016
01-10-2016,Adilabad,October,0,2016
01-11-2016,Adilabad,November,0,2016
01-12-2016,Adilabad,December,0,2016
01-01-2016,Bhadradri Kothagudem ,January, ,2016
01-02-2016,Bhadradri Kothagudem ,February, ,2016
01-03-2016,Bhadradri Kothagudem ,March, ,2016
01-04-2016,Bhadradri Kothagudem ,April, ,2016
01-05-2016,Bhadradri Kothagudem ,May, ,2016
01-06-2016,Bhadradri Kothagudem ,June, ,2016
01-07-2016,Bhadradri Kothagudem ,July, ,2016
01-08-2016,Bhadradri Kothagudem ,August, ,2016
01-09-2016,Bhadradri Kothagudem ,September, ,2016
01-10-2016,Bhadradri Kothagudem ,October,0,2016
01-11-2016,Bhadradri Kothagudem ,November,0,2016
01-12-2016,Bhadradri Kothagudem ,December,0,2016
01-01-2016,Hyderabad,January,15865,2016
01-02-2016,Hyderabad,February,29646,2016
01-03-2016,Hyderabad,March,13019,2016
01-04-2016,Hyderabad,April,8402,2016
01-05-2016,Hyderabad,May,8522,2016
01-06-2016,Hyderabad,June,10284,2016
01-07-2016,Hyderabad,July,17142,2016
01-08-2016,Hyderabad,August,12842,2016
01-09-2016,Hyderabad,September,9397,2016
01-10-2016,Hyderabad,October,12808,2016
01-11-2016,Hyderabad,November,8084,2016
01-12-2016,Hyderabad,December,17620,2016
01-01-2016,Jagtial ,January, ,2016
01-02-2016,Jagtial ,February, ,2016
01-03-2016,Jagtial ,March, ,2016
01-04-2016,Jagtial ,April, ,2016
01-05-2016,Jagtial ,May, ,2016
01-06-2016,Jagtial ,June, ,2016
01-07-2016,Jagtial ,July, ,2016
01-08-2016,Jagtial ,August, ,2016
01-09-2016,Jagtial ,September, ,2016
01-10-2016,Jagtial ,October,0,2016
01-11-2016,Jagtial ,November,0,2016
01-12-2016,Jagtial ,December,0,2016
01-01-2016,Jangaon ,January, ,2016
01-02-2016,Jangaon ,February, ,2016
01-03-2016,Jangaon ,March, ,2016
01-04-2016,Jangaon ,April, ,2016
01-05-2016,Jangaon ,May, ,2016
01-06-2016,Jangaon ,June, ,2016
01-07-2016,Jangaon ,July, ,2016
01-08-2016,Jangaon ,August, ,2016
01-09-2016,Jangaon ,September, ,2016
01-10-2016,Jangaon ,October,0,2016
01-11-2016,Jangaon ,November,2,2016
01-12-2016,Jangaon ,December,0,2016
01-01-2016,Jayashankar Bhoopalpally,January, ,2016
01-02-2016,Jayashankar Bhoopalpally,February, ,2016
01-03-2016,Jayashankar Bhoopalpally,March, ,2016
01-04-2016,Jayashankar Bhoopalpally,April, ,2016
01-05-2016,Jayashankar Bhoopalpally,May, ,2016
01-06-2016,Jayashankar Bhoopalpally,June, ,2016
01-07-2016,Jayashankar Bhoopalpally,July, ,2016
01-08-2016,Jayashankar Bhoopalpally,August, ,2016
01-09-2016,Jayashankar Bhoopalpally,September, ,2016
01-10-2016,Jayashankar Bhoopalpally,October,24,2016
01-11-2016,Jayashankar Bhoopalpally,November,22,2016
01-12-2016,Jayashankar Bhoopalpally,December,40,2016
01-01-2016,Jogulamba Gadwal ,January, ,2016
01-02-2016,Jogulamba Gadwal ,February, ,2016
01-03-2016,Jogulamba Gadwal ,March, ,2016
01-04-2016,Jogulamba Gadwal ,April, ,2016
01-05-2016,Jogulamba Gadwal ,May, ,2016
01-06-2016,Jogulamba Gadwal ,June, ,2016
01-07-2016,Jogulamba Gadwal ,July, ,2016
01-08-2016,Jogulamba Gadwal ,August, ,2016
01-09-2016,Jogulamba Gadwal ,September, ,2016
01-10-2016,Jogulamba Gadwal ,October,13,2016
01-11-2016,Jogulamba Gadwal ,November,21,2016
01-12-2016,Jogulamba Gadwal ,December,11,2016
01-01-2016,Kamareddy ,January, ,2016
01-02-2016,Kamareddy ,February, ,2016
01-03-2016,Kamareddy ,March, ,2016
01-04-2016,Kamareddy ,April, ,2016
01-05-2016,Kamareddy ,May, ,2016
01-06-2016,Kamareddy ,June, ,2016
01-07-2016,Kamareddy ,July, ,2016
01-08-2016,Kamareddy ,August, ,2016
01-09-2016,Kamareddy ,September, ,2016
01-10-2016,Kamareddy ,October,0,2016
01-11-2016,Kamareddy ,November,0,2016
01-12-2016,Kamareddy ,December,0,2016
01-01-2016,Karimnagar ,January,0,2016
01-02-2016,Karimnagar ,February,0,2016
01-03-2016,Karimnagar ,March,0,2016
01-04-2016,Karimnagar ,April,0,2016
01-05-2016,Karimnagar ,May,0,2016
01-06-2016,Karimnagar ,June,0,2016
01-07-2016,Karimnagar ,July,0,2016
01-08-2016,Karimnagar ,August,0,2016
01-09-2016,Karimnagar ,September,0,2016
01-10-2016,Karimnagar ,October,0,2016
01-11-2016,Karimnagar ,November,0,2016
